Keyword,Score,NScore
learn,7.284684232455938,1.0
technique,7.23276981267682,0.9896224735724347
cover,6.645621533622578,0.872253411013138
include,6.410496274788388,0.8252526239924686
focus,6.403440350645831,0.8238421673299109
concept,5.779695669569449,0.6991576010867738
develop,5.730910499431631,0.6894056016513085
project,5.695787886292071,0.6823847036501033
apply,5.677388628930127,0.6787067509669461
art,5.34404954631379,0.6120733347810475
explore,5.284395110798632,0.600148603969955
topic,4.952343136831577,0.5337724766852885
application,4.871090384574675,0.5175303114555503
skill,4.822954154123768,0.5079080329873897
study,4.764710475359181,0.496265307937398
analysis,4.686684680403301,0.48066820114834863
management,4.578460783698581,0.4590345904304439
advanced,4.544824490603814,0.4523108030511098
design,4.419941801172577,0.42734715296251957
practical,4.407685013010681,0.4248970602212673
fundamental,4.278162035606652,0.3990058314122742
business,4.213686275874037,0.3861173333146475
provide,4.115795392985711,0.36654925900092994
theory,4.112820637098981,0.36595461481610714
introduce,4.080703455602586,0.35953449298529716
principle,4.027094973721555,0.3488183289632574
problem,3.8388035254136113,0.3111794708345529
work,3.5406749777098208,0.2515845279309973
basic,3.50536805755145,0.2445267875463728
tool,3.3329124182109133,0.21005345696782385
artistic,3.285676774885245,0.20061120298481105
real,3.207768010434074,0.18503749021924532
create,3.14116163892592,0.17172308964400995
space,3.0690295345691507,0.15730411275043843
field,3.0283402998840985,0.1491704649112039
use,3.00578668321835,0.14466206909397616
system,2.9708794501685376,0.1376842248836606
process,2.873065462794934,0.11813152173732955
creation,2.8243046113967765,0.10838438354012092
different,2.760838106966028,0.09569763234849515
learning,2.668698431131208,0.07727920592532711
complex,2.6465027470624123,0.07284235968912067
production,2.6313919956645724,0.06982176882749402
educational,2.6115392824655626,0.0658532749724502
area,2.6088191795899998,0.0653095351098657
decision,2.597740561336398,0.06309495476404237
structure,2.5836086941257044,0.060270039719748425
solve,2.580886602977339,0.05972590240779174
development,2.575885730626665,0.05872624402384352
practice,2.553452646244267,0.05424194222444678
plan,2.546011222277115,0.052754425380255765
teach,2.544256842236716,0.05240373042284907
address,2.531662454912079,0.049886152689022856
planning,2.513823190515674,0.04632014080812952
presentation,2.486820821787972,0.04092245368630787
mathematic,2.484228275254304,0.040404211928385836
environment,2.4746667526815163,0.03849289415561585
critical,2.437432661846569,0.031049918518210096
strategy,2.4260572999989827,0.028776020077300846
teaching,2.4228329841258818,0.028131489649602937
hand,2.399809534560879,0.023529175738918717
improve,2.36373410771378,0.01631781332584875
allow,2.362033271913012,0.015977821690643768
emphasis,2.350104662521753,0.013593330835721673
knowledge,2.347606295468108,0.013093915254554223
case,2.3006990188063847,0.0037173007171428796
programming,2.2908342075839427,0.0017453565135978621
laboratory,2.2821029197049296,0.0
