Keyword,Score,NScore
learn,7.564089822741778,1.0
technique,7.210337881360132,0.9318475678466513
cover,7.095325251215514,0.9096896951800169
focus,6.764940572555575,0.8460391062703565
include,6.5549034233652685,0.8055741903635578
develop,5.927629087146381,0.6847260291528372
apply,5.917751752768635,0.682823101473045
concept,5.858886188645711,0.6714822976618005
explore,5.661003322262894,0.633358977199467
topic,5.243057555618408,0.5528392197847998
project,5.176179763499473,0.5399548122190074
skill,5.141602862752305,0.5332933650109987
application,5.09126497459922,0.5235954690964295
study,4.948777689988532,0.49614443954386456
practical,4.7164564085698455,0.451386351975988
fundamental,4.633202455485756,0.43534697882965046
art,4.541648797418794,0.41770861776390045
advanced,4.52041785343065,0.4136183491308798
principle,4.40632705383982,0.3916380726465547
analysis,4.39424909509567,0.38931118149043364
introduce,4.37123117133899,0.3848766404925493
provide,4.269228609561091,0.3652252354885662
management,4.223821397300333,0.3564772638427077
problem,4.172097660022031,0.34651237578637883
theory,4.011520148988436,0.3155761556674792
design,3.977993958519277,0.3091171340932498
business,3.772002807451846,0.26943170397947547
tool,3.6419327335359215,0.24437292450504
work,3.6313413126409184,0.24233242377694508
basic,3.572631709246461,0.23102166673498137
artistic,3.413364906999672,0.20033796252120073
create,3.319952819756072,0.18234156393379664
real,3.259115650277143,0.17062091853148242
use,3.207635758725729,0.16070300881622712
field,3.1468944823849805,0.1490008378018366
creation,2.985554152220078,0.11791765600439841
different,2.9728647589421224,0.11547296831995679
space,2.8942856878557945,0.10033423921512763
process,2.886366296867454,0.09880852106663995
area,2.738713740053011,0.07036237085962693
planning,2.730536562681237,0.06878698861901189
teach,2.722332119063075,0.06720635337257663
practice,2.720094864711177,0.06677533290995519
address,2.7124915680238817,0.06531051222346285
solve,2.6803144227601057,0.059111392295207676
environment,2.679972237597664,0.059045468272356794
complex,2.676613230715528,0.05839833546018536
structure,2.6732864386087045,0.05775740901759663
production,2.667232730042876,0.056591125772062045
learning,2.644999977896364,0.05230785279176564
mathematic,2.628332175720656,0.04909670078369832
decision,2.6137484387200907,0.046287056425023176
hand,2.605606414611356,0.0447184466712669
system,2.600766221860608,0.04378595452220302
development,2.583174881739748,0.04039687739264475
improve,2.5814019959429246,0.04005532031592107
presentation,2.5461682548358118,0.033267328874990565
emphasis,2.542931251847292,0.032643700844304346
plan,2.533526192505478,0.030831759781344392
case,2.5205209444602814,0.02832622078253083
allow,2.5129790039660747,0.02687322073445053
critical,2.4771453997932515,0.01996966207789591
knowledge,2.4443996492115625,0.013660996926511293
strategy,2.4073263038236155,0.00651859469295335
laboratory,2.3947645582364654,0.004098499101358399
contemporary,2.3902131333296985,0.0032216398085218034
teaching,2.3799772041398826,0.0012496266885066998
engineering,2.373490893188178,0.0
