Keyword,Score,NScore
learn,15.7502918153788,1.0000000000000002
cover,12.70178635744241,0.770529682919874
technique,12.636500207204891,0.7656153949834879
include,12.082071321761234,0.7238818393456183
focus,11.12065806424462,0.6515133269412763
apply,9.56916595955924,0.5347277773918699
develop,9.55261767853872,0.5334821377348951
explore,9.13677255116542,0.5021802048529471
concept,9.05807863567923,0.49625667347402797
topic,7.947857447279187,0.4126869335977255
study,7.70671079464014,0.3945350885026698
skill,7.585400034401039,0.3854036570516199
project,7.213716988131909,0.35742593890168445
application,7.188856783442668,0.35555463536248105
practical,6.689279845297917,0.3179499533359001
fundamental,6.263622726171573,0.28590944186525497
analysis,6.147082267816329,0.27713708560726624
advanced,6.129089407803969,0.275782708077298
principle,5.941768201642696,0.26168246874141166
introduce,5.740835029862145,0.24655761517739333
provide,5.660521148314939,0.24051214400508697
management,5.5601970170914825,0.2329604402209584
problem,5.39163018733602,0.22027190007992753
design,5.296152572014635,0.2130850083507969
art,5.221734823722413,0.20748335713756116
theory,5.168325554353071,0.20346307830050214
work,4.439832190521174,0.14862715771716384
business,4.409614436295923,0.14635257506045068
tool,4.402384157900953,0.14580832992172144
basic,4.227096541625602,0.132613895651575
create,3.975623155226677,0.11368472576475552
real,3.8166777316207714,0.10172041825192862
field,3.7293674719025502,0.0951483083251678
use,3.711957201067372,0.09383778406200849
different,3.568629391147637,0.08304906203329826
artistic,3.3404429537925235,0.065872771927947
address,3.3035529759377007,0.0630959506192014
process,3.279469390299736,0.06128310556806896
space,3.161844330457672,0.05242910804339393
creation,3.133518727486619,0.05029695339091275
practice,3.100518230920465,0.047812905218677204
environment,3.055413145777615,0.04441770769239092
area,3.035207660618551,0.042896779109456135
teach,3.026948753805613,0.042275105967895465
improve,2.9958258495191368,0.03993238990141135
planning,2.9909750586469377,0.039567256056354555
emphasis,2.9712591460486397,0.038083179095403985
learning,2.934433108642736,0.035311170779546264
structure,2.892382967976345,0.03214592825493143
development,2.861920801696541,0.02985294795634738
case,2.860301856282065,0.02973108499014271
system,2.8572501281345595,0.029501372091375433
hand,2.852554022948584,0.02914788191038789
complex,2.834496109427723,0.027788607604137372
mathematic,2.833912325510825,0.027744664405620817
presentation,2.828007553518477,0.027300194182402954
plan,2.7987734055265374,0.02509965057116767
solve,2.772806827900528,0.023145066961742344
allow,2.770739566830557,0.02298945790682705
production,2.735272851305497,0.020319769900811357
knowledge,2.712739644444686,0.01862362659566455
critical,2.711521548759781,0.018531936812947764
teaching,2.663840867373598,0.014942866290603873
strategy,2.649786943419314,0.013884984508692105
decision,2.6476830689126865,0.013726619448568705
prepare,2.496422022512645,0.00234073847895247
engineering,2.482382691184529,0.0012839551285836193
laboratory,2.465325390410129,0.0
