Keyword,Score,NScore
estudiant,12.41164492100424,1.0
incluir,11.508482052763036,0.9086655052041486
tecnica,10.824406178342729,0.839486704138201
aprenderar,10.349157764956493,0.7914260771289323
cubrir,9.178836157683342,0.6730745189463887
concepto,8.919264669584194,0.6468247343697586
explorar,8.216399272783221,0.5757457981294813
tema,8.048102620851614,0.5587263986163677
desarrollar,7.9397963441859165,0.5477736685935484
proyecto,7.605129226464144,0.5139296597256611
aplicacion,7.125429898050939,0.4654189233400415
habilidad,6.472601370680993,0.39940008462076676
aplicar,6.166643644245972,0.368459381282012
avanzado,5.954652280646542,0.3470212500475616
enfocar,5.815324770562938,0.33293142395735603
analisis,5.774269516321349,0.32877961365079084
practico,5.665505970469807,0.31778064119314225
gestion,5.544771703950588,0.305571101114779
teoria,5.206606938988598,0.2713733843444826
abordar,5.047484782456557,0.25528177751615705
principio,5.004470523475829,0.25093185819244374
problema,4.916904650961319,0.24207655090656588
arte,4.875893648628875,0.2379292156796432
introducir,4.5937133118636,0.20939305746715065
practica,4.233721080922509,0.17298798624509626
proporcionar,4.2205862800453104,0.1716596982424028
fundamental,4.184530932679615,0.16801351541964388
creacion,4.06256827191056,0.15567975104889198
herramienta,4.0115884238606805,0.15052429257054206
desarrollo,3.860136893795727,0.13520839610163743
estudiar,3.7715991819577934,0.12625480925096694
real,3.6706914099447134,0.1160502706213648
estudio,3.6618059973749366,0.11515171212582609
estudiantes,3.6359491638497454,0.11253687829010522
tambien,3.5628286404892955,0.10514239132083875
sistema,3.4806322271195977,0.09683008337158489
diseno,3.422419930618823,0.09094322632867041
aprendizaje,3.375682653597878,0.08621680794396136
espacio,3.301958736184885,0.07876130131490844
empresarial,3.2841272868055302,0.07695805355328078
analizar,3.2342818307836216,0.07191731316888533
laboratorio,3.153888752975198,0.06378737182063787
dato,3.1341565244804577,0.06179190324665518
enfoque,3.1294168869579337,0.061312596120712104
trabajar,3.114244211324353,0.05977822318264714
planificacion,3.059545290479844,0.054246664615652085
uso,3.051212335574549,0.05340397471641628
mejorar,3.044302045415939,0.052705155175973406
presentacion,3.0430701406106904,0.05258057587031273
entorno,3.032402408913204,0.051501776110635944
artistico,3.021800318920939,0.05042961452464273
mas,2.999975023013791,0.048222479526576156
campo,2.9976776395673395,0.04799015115722832
diferente,2.9131108174058498,0.03943812997676116
diverso,2.87262178393846,0.03534358009372862
area,2.819250581095654,0.0299462901699441
aprender,2.811411078281312,0.029153501787940628
aplicado,2.7784769411681705,0.02582295878120272
practicar,2.7294367819071264,0.020863655948549775
produccion,2.718176449140316,0.019724927995204478
complejo,2.710401115474947,0.01893862887112885
educativo,2.658395042454296,0.013679390949947245
estrategia,2.63932458851135,0.011750845902697427
estructura,2.6193089855827143,0.009726720414587664
decision,2.61274593816296,0.009063016622632869
caso,2.585095764414066,0.006266826988208851
matematica,2.5554998456052163,0.0032738692532552904
crear,2.523126127968459,0.0
