Keyword,Score,NScore
tecnica,6.366108354893736,1.0
incluir,6.1192126753936,0.9399386968868874
aprenderar,5.743321614013161,0.8484972143109731
concepto,5.631745587317338,0.8213545702067823
cubrir,5.570342539253459,0.8064173016028914
proyecto,5.301735612633159,0.741074392117047
tema,5.064312698893943,0.6833174900239843
desarrollar,4.959918762942587,0.6579220037885042
explorar,4.959527712761063,0.6578268746087125
aplicacion,4.875549081383305,0.6373977360980035
habilidad,4.4097190347566615,0.5240771640803678
avanzado,4.361082768091425,0.5122456182210594
enfocar,4.315821195352046,0.5012350203637789
analisis,4.256303709105032,0.48675644467849455
aplicar,4.225491842013589,0.47926096767133586
arte,4.212269628191142,0.47604445374195403
practico,4.159608629123127,0.4632338276764557
gestion,4.101157366592121,0.4490146278778744
teoria,3.881503381775109,0.3955803005182077
problema,3.7012775673955,0.3517375030736485
principio,3.665425195691636,0.34301584310540034
introducir,3.637571871337224,0.33624007870099626
abordar,3.5002587313908657,0.3028364722206044
fundamental,3.39384022207141,0.27694847629446295
creacion,3.346035308847972,0.2653191703899529
proporcionar,3.325068645423328,0.2602186958503915
herramienta,3.184049113679847,0.22591345058217793
practica,3.153461838077747,0.21847260902892962
desarrollo,3.108803421259001,0.20760873844790984
real,3.0871529431837,0.20234191511241395
artistico,3.029226626675316,0.18825041678777743
sistema,3.025937559810401,0.18745029893098497
empresarial,3.001556892495026,0.18151931361486529
diseno,2.962916559032537,0.17211943758146941
espacio,2.927568108014796,0.16352036433946737
estudiantes,2.904283988472248,0.15785613171944624
estudio,2.891227153909043,0.15467984892670505
aprendizaje,2.873720729378943,0.150421132564159
estudiar,2.8568740461270483,0.14632290876659715
laboratorio,2.854879329836369,0.14583766228516126
dato,2.810617551463112,0.13507028031807378
tambien,2.7693719151102307,0.125036622896044
mas,2.7599466720042534,0.12274378251807949
enfoque,2.666907372176125,0.1001104922161895
trabajar,2.6519313462563283,0.0964673355841259
planificacion,2.6486852068610043,0.0956776605174553
analizar,2.644423951194102,0.09464104226325798
presentacion,2.6225122520465614,0.08931067274489202
uso,2.5948324795497606,0.08257712759173985
mejorar,2.5822990634432963,0.07952817466823314
entorno,2.581007117879839,0.07921388835002152
produccion,2.567199584822805,0.07585498620211095
campo,2.521470395721686,0.06473063322323414
complejo,2.521041131918674,0.06462620797188756
diverso,2.4871373000465296,0.056378561326585475
area,2.485210919716486,0.05590993865506633
decision,2.480266531987347,0.05470713765543023
diferente,2.454223804849364,0.048371829837596914
estructura,2.435268433377616,0.043760634073089055
educativo,2.423845995356086,0.040981944248743796
aplicado,2.418431378740802,0.03966475258937463
practicar,2.414979898679587,0.038825125137953886
programacion,2.405303656813618,0.036471225317250666
matematica,2.3762288471684085,0.02939831517725766
estrategia,2.325924400902933,0.017160958082937383
aprender,2.305330570083129,0.012151181007726386
integral,2.2553803702684205,0.0
