Keyword,Score,NScore
estudiant,6.842075153540594,1.0
tecnica,6.23344813617571,0.8667635914310718
incluir,6.177479098258885,0.8545112375421791
aprenderar,6.164475132231374,0.8516644994230604
cubrir,5.970637525441076,0.8092309139306637
concepto,5.610902605628339,0.7304802384181015
tema,5.31810815711615,0.6663837069535834
explorar,5.256274549091774,0.6528475220209853
desarrollar,5.165826847462353,0.6330473380255492
aplicacion,5.064849939591024,0.6109421731720057
proyecto,4.866882362509493,0.567604483206096
habilidad,4.596054722354169,0.5083167731867093
enfocar,4.531094848513611,0.4940962078081307
aplicar,4.508902896438774,0.48923809946061314
avanzado,4.330359773457461,0.45015267636568523
practico,4.279857415651954,0.4390970502000878
gestion,4.118941342938301,0.40387041878597485
analisis,3.9655941720584846,0.37030071890526217
principio,3.961461296271446,0.3693959783807442
problema,3.956785914975658,0.3683724763100701
introducir,3.84558566842203,0.3440292890047615
teoria,3.801912557961588,0.33446867433803706
arte,3.776744310872855,0.3289590161132071
abordar,3.775873491370034,0.3287683823428399
fundamental,3.62463805634786,0.2956609690407558
creacion,3.518269019787148,0.27237539674452993
proporcionar,3.4509730216839425,0.25764342323281664
herramienta,3.448528901637939,0.2571083734112515
practica,3.2988474540463306,0.2243411482676001
real,3.104832214187828,0.18186867657499284
estudiar,3.102485215857369,0.1813548879662953
estudiantes,3.0748829720241377,0.17531239604290638
desarrollo,3.044658504529378,0.16869586508878376
estudio,3.0071277686853057,0.1604798965035189
tambien,2.962672030028232,0.15074795429597088
laboratorio,2.921062159755461,0.1416390098719028
trabajar,2.844190802759964,0.12481086515324724
planificacion,2.835228669206562,0.1228489369875535
empresarial,2.8127138807258785,0.11792015553147672
uso,2.80890943170836,0.11708731191918953
artistico,2.7883998997627035,0.11259750732638629
enfoque,2.781230313436803,0.1110279911765385
analizar,2.757429355890397,0.1058176505023527
espacio,2.7473270633123605,0.10360612662482627
entorno,2.686413116126918,0.0902712674694035
mejorar,2.6782456895728104,0.08848331105230056
presentacion,2.6514866104891763,0.08262539891236376
practicar,2.649581446188062,0.08220833354725188
sistema,2.6241941523699417,0.07665072313052168
diferente,2.618059635746797,0.07530779726647951
diverso,2.6128534883514307,0.07416810355974535
area,2.6050436396849075,0.07245842561560878
mas,2.5979956359237666,0.07091552547821356
aprendizaje,2.5929074821425604,0.06980166211574002
aplicado,2.590726641649121,0.06932424762917055
campo,2.5795279295979503,0.06687270319929017
diseno,2.5478601061895723,0.059940202771696205
produccion,2.534126660526772,0.05693377202645866
complejo,2.518500890238128,0.05351308668883448
aprender,2.517962050740182,0.05339512768035626
estructura,2.4863693189111613,0.046479065780895
decision,2.448326894407013,0.038151081860410385
dato,2.403118382240256,0.028254347693198345
crear,2.3786497386367245,0.022897841814766173
caso,2.374842145508666,0.02206430991558983
basico,2.331993981962276,0.012684286910018105
disenar,2.274705976795415,0.00014319385181310595
estrategia,2.274051863945406,0.0
